1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),Year,is_weekend,is_holiday,is_morning_rush,is_evening_rush,month_sin,month_cos,hour_sin,hour_cos
38.0,77.5,21.53,73.5,63.33,77.0,3756.0,2974.0,14.6,,2.8,68.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
36.35,84.83,24.2,64.92,64.58,61.75,3986.0,2818.0,14.8,,2.7,69.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063
31.24,82.5,21.61,73.75,67.42,72.58,3871.0,2842.0,15.4,,3.8,70.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
30.07,83.25,23.96,73.25,67.75,69.0,3677.0,2758.0,16.3,,4.2,67.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475
30.84,79.83,25.57,43.17,55.75,71.33,3638.0,2249.0,16.8,,4.2,69.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
31.07,75.92,22.8,13.58,47.17,64.0,3700.0,2568.0,16.6,,5.3,71.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682
35.14,79.5,19.65,14.17,49.25,45.33,2613.0,2416.0,16.8,,4.7,74.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
32.9,78.33,22.57,45.08,66.5,62.58,3081.0,2278.0,16.3,,5.3,79.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
32.74,77.25,19.14,57.5,65.5,67.92,3656.0,2835.0,15.7,,3.9,81.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
33.16,77.17,23.7,25.25,63.08,54.08,3610.0,2891.0,15.8,,3.5,82.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479
27.47,33.08,19.72,18.83,54.92,56.25,2944.0,2940.0,15.4,,3.7,85.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
30.05,18.92,18.92,44.42,66.33,58.33,3350.0,2936.0,15.1,,3.4,87.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063
15.35,12.58,16.24,26.33,63.0,49.25,3057.0,2938.0,14.9,,2.8,87.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
12.6,16.33,19.05,27.75,66.42,51.75,3530.0,2899.0,14.5,,3.2,89.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203
22.85,62.42,19.93,42.42,55.58,49.25,3768.0,2794.0,14.2,,3.0,89.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
30.32,72.83,25.45,25.17,58.75,42.33,3358.0,2825.0,14.2,,2.8,89.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474
30.81,72.25,24.52,51.25,64.25,50.5,3144.0,2614.0,13.9,,3.0,88.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
41.79,74.92,22.65,69.25,63.17,70.33,2435.0,2102.0,13.6,,3.0,88.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681
34.4,76.25,20.39,70.83,63.08,81.17,1832.0,1561.0,15.3,,2.4,61.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0
35.85,77.67,20.03,75.5,63.08,85.75,1363.0,1220.0,12.8,,2.6,86.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
32.45,77.08,19.12,75.0,66.33,92.58,1162.0,1077.0,12.6,,0.9,86.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
33.55,70.75,18.73,76.08,67.58,92.92,1056.0,921.0,12.0,,1.0,87.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
35.88,76.33,18.64,75.58,65.75,92.42,1306.0,1294.0,11.2,,1.2,88.0,,2022,True,False,False,False,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
